date,state,notes
2020-05-29,PR,"(1) Um caso confirmado na data de 20/5 em Curitiba foi transferido para Colombo.
(2) Um caso confirmado na data de 18/5 em Diamante do Sul foi excluído por duplicidade de notificação."
2020-05-29,RJ,
2020-05-29,RN,Dados extraídos em 29/05/2020 (SE 20) às 23h
2020-05-29,RO,"Após investigação epidemiológica, foi constatado que o óbito registrado no município de Vale do Anari é de Porto Velho."
2020-05-29,RO,"Após investigação epidemiológica, foi constatado que o óbito registrado no município de Vale do Anari é de Porto Velho."
2020-05-29,RR,
2020-05-29,RR,
2020-05-29,RS,
2020-05-29,SC,
2020-05-29,SC,"Urubici saiu da lista, pois seu caso migrou para Florianópolis."
2020-05-29,SE,
2020-05-29,SP,
2020-05-29,SP,
2020-05-29,SP,
2020-05-29,TO,
2020-05-28,AC,
2020-05-28,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-28,AL,
2020-05-28,AM,
2020-05-28,AP,
2020-05-28,AP,
2020-05-28,BA,
2020-05-28,CE,
2020-05-28,DF,
2020-05-28,ES,
2020-05-28,ES,
2020-05-28,GO,
2020-05-28,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-28,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-28,MA,
2020-05-28,MG,"Município de São Tiago não aparece neste boletim, embora tenha sido registrado 1 caso no boletim anterior. Unaí e Pedra Azul apresentaram redução no número de casos, de 31 e 4 para 30 e 3, respectivamente. O boletim não informa o motivo dessas alterações.
Pedra Azul, 4 para 3"
2020-05-28,MS,"Houve redução no número de casos nos seguintes municípios:

Guia Lopes da Laguna: de 226 para 225
Itaporã: de 45 para 44
Ribas do Rio Pardo: de 12 para 11

O boletim não apresenta justificativas para as alterações."
2020-05-28,MT,"Foi indicada a existência de 1 caso em Santo Antonio, município que não consta na base de dados do IBGE. Em contato com a assessoria de imprensa, foi confirmado que se trata de 1 caso a mais em Santo Antonio do Leverger, sendo atualizado, portanto, com 4 casos.

Boletim informou duplicidade no município de Campo Verde na publicação anterior."
2020-05-28,PA,Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 28/05/2020 às 19:03h
2020-05-28,PB,
2020-05-28,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-28,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-28,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-28,PI,
2020-05-28,PI,
2020-05-28,PR,"(1) Um caso confirmado na data de 26/5 em Realeza foi transferido para Cascavel.
(2) Um caso confirmado na data de 25/5 em Maringá foi excluído por duplicidade de notificação.
(3) Quatro casos confirmados por laboratório particular na data de 25/5 em Londrina foram transferidos para Cambé."
2020-05-28,RJ,
2020-05-28,RN,Dados extraídos em 28/05/2020 (SE 20) às 23h
2020-05-28,RO,"Após investigação epidemiológica, foi constatado que o caso notificado em Nova União não pertencia ao município. A correção já foi feita no sistema de dados e, portanto, há um caso a menos no número total informado no boletim da edição anterior."
2020-05-28,RO,"Após investigação epidemiológica, foi constatado que o caso notificado em Nova União não pertencia ao município. A correção já foi feita no sistema de dados e, portanto, há um caso a menos no número total informado no boletim da edição anterior."
2020-05-28,RR,
2020-05-28,RR,
2020-05-28,RS,
2020-05-28,SC,
2020-05-28,SE,
2020-05-28,SE,
2020-05-28,SP,
2020-05-28,TO,
2020-05-27,AC,
2020-05-27,AL,
2020-05-27,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-27,AM,
2020-05-27,AM,
2020-05-27,AP,
2020-05-27,AP,
2020-05-27,BA,
2020-05-27,BA,
2020-05-27,CE,
2020-05-27,DF,"dados de importados\indefinidos extraido da tabela 1, pagina 1"
2020-05-27,ES,
2020-05-27,ES,
2020-05-27,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-27,GO,
2020-05-27,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-27,MA,
2020-05-27,MG,"Município de Cambuquira apresentou redução de casos, de 4 para 3. O mesmo ocorre para Conceição do Mato Dentro, reduzindo de 2 para 1 caso, para Mutum, reduzindo de 33 para 31 casos, e para Ouro Preto, reduzindo de 7 para 6 casos."
2020-05-27,MS,"Municípios de Jardim e Fátima do Sul apresentaram redução de 31 e 53 para 30 e 51, respectivamente. O boletim não informa o motivo das alterações."
2020-05-27,MT,"Houve redução do número de casos de Nobres, de 4 para 3 por erro de duplicidade."
2020-05-27,MT,
2020-05-27,PA,"Atualizado em 27/05/2020 às 19:46h
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 27/05/2020 às 19:46h"
2020-05-27,PB,
2020-05-27,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-27,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-27,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-27,PI,
2020-05-27,PI,
2020-05-27,PR,
2020-05-27,RJ,
2020-05-27,RO,
2020-05-27,RR,
2020-05-27,RR,
2020-05-27,RS,
2020-05-27,SC,
2020-05-27,SE,
2020-05-27,SE,
2020-05-27,SE,
2020-05-27,SP,
2020-05-27,SP,
2020-05-26,AC,
2020-05-26,AL,
2020-05-26,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-26,AM,
2020-05-26,AM,
2020-05-26,AP,
2020-05-26,AP,
2020-05-26,BA,"O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela.
O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela.

O número total de casos vai resultar em 14.567, ao invés de 14.566 do boletim da secretaria de saúde."
2020-05-26,CE,
2020-05-26,DF,
2020-05-26,ES,
2020-05-26,ES,
2020-05-26,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-26,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-26,GO,
2020-05-26,MA,
2020-05-26,MG,"Município de Frutal apresentou redução de casos, de 12 para 10. O mesmo ocorre em Naque, reduzindo de 2 para 1 caso. Braúnas não aparece neste boletim, apesar de ter sido registrado 1 caso no dia anterior. O boletim não informa o motivo dessas alterações."
2020-05-26,MS,"Houve redução de casos em Sonora, de 13 para 12. O boletim não informa o motivo dessa alteração. Dados publicados no dia 27/05 mas referentes à coleta dia 26/05 às 19h."
2020-05-26,MT,"Marcelândia não aparece neste boletim, seus 2 casos foram transferidos para importados/indefinidos, conforme informação oficial do boletim. Jauru apresenta redução de 3 para 2 casos devido a duplicidade de registro."
2020-05-26,PA,
2020-05-26,PB,
2020-05-26,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-26,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-26,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-26,PI,
2020-05-26,PI,
2020-05-26,PR,"(1) Um caso confirmado na data de 7/5 em Curitiba foi transferido para Porto Velho/RO.
(2) Um caso confirmado na data de 21/5 de Piraquara foi transferido para São José dos Pinhais.
(3) Um caso confirmado na data de 21/5 de Lupionópolis foi transferido para Londrina.
(4) Um caso confirmado na data de 24/5 em Ibiporã foi transferido para Cascavel."
2020-05-26,RJ,
2020-05-26,RN,Dados extraídos em 26/05/2020 (SE 20) às 23h
2020-05-26,RO,
2020-05-26,RO,
2020-05-26,RR,
2020-05-26,RR,
2020-05-26,RS,
2020-05-26,SC,
2020-05-26,SE,Exclusão de um caso do município de Siriri por duplicidade.
2020-05-26,SE,Exclusão de um caso do município de Siriri por duplicidade.
2020-05-26,SP,
2020-05-26,TO,
2020-05-26,TO,"Atualizado em: 26 de Maio de 2020, às 11:39"
2020-05-25,AC,
2020-05-25,AL,
2020-05-25,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-25,AM,SUSAM reportou 60 casos a menos em Caapiranga do que no dia anterior
2020-05-25,AM,Caapiranga - os casos haviam sido notificados em duplicidade pela prefeitura do município no boletim anterior
2020-05-25,AP,
2020-05-25,AP,
2020-05-25,BA,"O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela.
O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela.

O número total de casos vai resultar em 14.205, ao invés de 14.204 do boletim da secretaria de saúde."
2020-05-25,CE,
2020-05-25,DF,Dados de casos importados\indeterminados extraído da tabela 1 na página 1.
2020-05-25,ES,
2020-05-25,ES,
2020-05-25,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-25,GO,O número de casos reportados é maior que o número de casos na notícia pois os dados do painel foram atualizados desde o momento em que a notícia foi publicada.
2020-05-25,GO,
2020-05-25,MA,
2020-05-25,MG,
2020-05-25,MG,
2020-05-25,MS,"Município de Jardim apresentou redução no número de casos, de 28 para 27. O mesmo ocorre em Nova Andradina, reduzindo de 11 para 10 casos. Porto Murtinho, que tinha 2 casos no dia anterior, não aparece neste boletim. O boletim não informa o motivo dessas alterações.

Desde o dia 25/05, os dados dos boletins contém as informações coletadas às 19h do dia anterior. A atualização dos dados está sendo feita conforme a data da coleta dos dados."
2020-05-25,MT,
2020-05-25,MT,
2020-05-25,PA,"Atualizado em 25/05/2020 às 19:39h
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 25/05/2020 às 19:39h"
2020-05-25,PB,
2020-05-25,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-25,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-25,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-25,PI,
2020-05-25,PI,
2020-05-25,PR,"(1) Um caso confirmado na data de 8/5 em Curitiba foi transferido para Araucária.
(2) Um caso confirmado na data de 8/5 de Araucária foi excluído por duplicidade de notificação
(3) Um caso confirmado na data de 9/5 de Campo Largo foi excluído por duplicidade de notificação
(4) Um caso confirmado na data de 21/5 em Quatro Barras foi transferido para Jacupiranga/SP"
2020-05-25,RJ,
2020-05-25,RN,"Dados do dia 25, até as 23h, publicados no dia 26
Dados extraídos em 25/05/2020 (SE 20) às 23h"
2020-05-25,RO,
2020-05-25,RR,Atualizado em 25/05/2020 às 21:27
2020-05-25,RS,
2020-05-25,RS,
2020-05-25,SC,
2020-05-25,SE,Alteração de endereço de um caso residente em Malhador para Malhada dos Bois.
2020-05-25,SP,
2020-05-25,TO,
2020-05-25,TO,
2020-05-24,AC,
2020-05-24,AL,
2020-05-24,AM,
2020-05-24,AM,
2020-05-24,AP,
2020-05-24,AP,
2020-05-24,BA,"O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela.

O número total de casos vai resultar em 13.900, ao invés de 13.899 do boletim da secretaria de saúde.
O município de Miguel Calmon está com 0 casos confirmados, porém com 1 óbito.
Por isso, precisamos colocar 1 caso nesse município para o sistema permitir o envio da tabela."
2020-05-24,CE,
2020-05-24,DF,"dados de importado e indefinidos extraído da tabela 1, página 1."
2020-05-24,ES,
2020-05-24,ES,
2020-05-24,GO,Há mais casos do que o total da notícia pelo fato de o painel estar mais atualizado desde a hora em que a notícia foi publicada.
2020-05-24,GO,Há mais casos do que o total da notícia pelo fato de o painel estar mais atualizado desde a hora em que a notícia foi publicada.
2020-05-24,GO,
2020-05-24,MA,
2020-05-24,MG,"Município de Bom Despacho apresentou redução significativa no número de casos, de 28 no boletim anterior para 6 no atual. Município de Tapira não aparece neste boletim, apesar de ter sido registrado 1 caso no boletim anterior. O boletim não informa o motivo dessas alterações."
2020-05-24,MS,"Boletim com dados gerados até as 19h do dia 24, publicado no dia 25"
2020-05-24,MT,
2020-05-24,PA,"Atualizado em 24/05/2020 às 20:56h
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 24/05/2020 às 20:56h"
2020-05-24,PB,
2020-05-24,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-24,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-24,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-24,PI,
2020-05-24,PI,
2020-05-24,PR,Um caso confirmado na data de 17/5 em Rio Branco do Sul foi excluído por duplicidade de notificação.
2020-05-24,RJ,
2020-05-24,RN,Dados extraídos em 24/05/2020 (SE 20) às 23h
2020-05-24,RO,"Seis casos foram computados a mais na edição anterior com as seguintes especificações: no município de Ouro Preto do Oeste havia dois pacientes duplicados, em Alta Floresta do Oeste tinha um paciente registrado no banco de dados que é do Rio de Janeiro, em Buritis havia dois pacientes duplicados e um caso a mais no município de Vale do Paraíso.

No município de Cerejeiras o caso é de Porto Velho, porém o óbito é do município onde residia a paciente. Um óbito que estava registrado em Porto Velho passou para o município de Rolim de Moura, onde residia o paciente. Os dados já foram ajustados no sistema."
2020-05-24,RR,Atualizado em 24/05/2020 às 19:42
2020-05-24,RS,
2020-05-24,SC,
2020-05-24,SE,
2020-05-24,SP,
2020-05-24,SP,
2020-05-23,AC,
2020-05-23,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-23,AL,
2020-05-23,AM,
2020-05-23,AM,
2020-05-23,BA,
2020-05-23,BA,
2020-05-23,CE,
2020-05-23,DF,
2020-05-23,ES,
2020-05-23,ES,
2020-05-23,GO,Número de casos reportado maior que a notícia devido ao fato do painel ter sido atualizado após a publicação da notícia.
2020-05-23,GO,Número de casos reportado maior que a notícia devido ao fato do painel ter sido atualizado após a publicação da notícia.
2020-05-23,MA,
2020-05-23,MG,
2020-05-23,MG,"Muriaé apresentou redução no número de casos, de 101 no boletim anterior para 100 no boletim atual. Ribeirão das Neves não aparece neste boletim, apesar de registro de 1 caso no boletim anterior. O boletim não informa o motivo dessas alterações."
2020-05-23,MS,Houve diversas reduções no número de casos em vários municípios. O boletim não deixa claros os motivos.
2020-05-23,MT,
2020-05-23,MT,
2020-05-23,PA,"Alteração no número de confirmados entre as cidades de Marituba (300 para 301) para Nova Timboteua (22 para 21).
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 23/05/2020 às 19:07h"
2020-05-23,PB,
2020-05-23,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-23,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-23,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-23,PI,
2020-05-23,PI,
2020-05-23,PR,Um caso confirmado por laboratório particular na data de 14/5 em Curitiba foi transferido para Ponta Grossa.
2020-05-23,RJ,
2020-05-23,RO,
2020-05-23,RR,Atualizado em 24/05/2020 às 00:11
2020-05-23,RS,
2020-05-23,RS,
2020-05-23,SC,"Secretaria colocou um caso de morte para Guarujá do Sul, porém era residente de Dionísio Cerqueira, como apontado na nota da prefeitura."
2020-05-23,SC,"Secretaria colocou um caso de morte para Guarujá do Sul, porém era residente de Dionísio Cerqueira, como apontado na nota da prefeitura.
Houve uma redução no número de casos de alguns municípios, como Florianópolis e Blumenau, porque a integração de dados entre os sistemas que atualizam as informações na plataforma Boa Vista, utilizada pelo Governo do Estado, pode gerar duplicidades.
Entre as de hoje está a de um menino de 13 anos, de Dionísio Cerqueira, erroneamente atribuída no boletim como de Guarujá do Sul, cidade no qual o paciente foi atendido."
2020-05-23,SC,"Houve uma redução no número de casos de alguns municípios, como Florianópolis e Blumenau, porque a integração de dados entre os sistemas que atualizam as informações na plataforma Boa Vista, utilizada pelo Governo do Estado, pode gerar duplicidades.
Entre as de hoje está a de um menino de 13 anos, de Dionísio Cerqueira, erroneamente atribuída no boletim como de Guarujá do Sul, cidade no qual o paciente foi atendido."
2020-05-23,SE,
2020-05-23,SE,
2020-05-23,SP,
2020-05-23,SP,
2020-05-22,AC,
2020-05-22,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-22,AL,
2020-05-22,AM,
2020-05-22,AM,
2020-05-22,AP,
2020-05-22,BA,
2020-05-22,BA,
2020-05-22,CE,
2020-05-22,DF,"dados de importados\indefindios extraidos da tabela 1, pagina 1 do boletim."
2020-05-22,ES,
2020-05-22,ES,
2020-05-22,GO,"Existem mais casos declarados do que no link da notícia devido ao fato de que os dados foram baixados do painel interativo em horário posterior à notícia e, portanto, estavam mais atualizados."
2020-05-22,GO,"Existem mais casos declarados do que no link da notícia devido ao fato de que os dados foram baixados do painel interativo em horário posterior à notícia e, portanto, estavam mais atualizados."
2020-05-22,GO,
2020-05-22,MA,
2020-05-22,MG,"Município de Capelinha não aparece neste boletim, apesar de ter sido registrado 1 caso no boletim anterior. Municípios de Nova Ponte e Várzea da Palma apresentaram redução no número de casos, de 4 e 7 no boletim anterior para 2 e 6 no atual, respectivamente. O boletim não informa o motivo dessas alterações."
2020-05-22,MG,
2020-05-22,MS,
2020-05-22,MT,
2020-05-22,PA,"Diferença de 2 óbito entre o valor publicado no site e a soma individual dos óbitos.
Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 22/05/2020 às 19:25h"
2020-05-22,PB,
2020-05-22,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-22,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-22,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-22,PI,
2020-05-22,PI,
2020-05-22,PR,
2020-05-22,RJ,
2020-05-22,RN,Dados extraídos em 22/05/2020 (SE 20) às 23h
2020-05-22,RO,"Um caso foi computado a mais para o município de Presidente Médici, que permanece com um caso confirmado e não dois, conforme foi informado na edição anterior. O caso em questão já foi reduzido do sistema."
2020-05-22,RO,"Um caso foi computado a mais para o município de Presidente Médici, que permanece com um caso confirmado e não dois, conforme foi informado na edição anterior. O caso em questão já foi reduzido do sistema."
2020-05-22,RR,Atualizado em 22/05/2020 às 21:55
2020-05-22,RS,
2020-05-22,SC,"O aumento observado entre quinta e sexta-feira está relacionado à integração da plataforma SC Digital, na qual os laboratórios privados informam os exames de Covid-19, ao sistema do Governo de Santa Catarina. Além disso, o sistema e-SUS VE do Ministério da Saúde estava, desde o dia 19 de maio, apresentando problemas na origem e foi atualizado apenas nesta sexta."
2020-05-22,SC,
2020-05-22,SE,"Alteração de endereço de um 1 caso de residente do município de Telha para o município de Cedro de São João;
Alteração de endereço de um 1 caso de residente do município de Areia Branca para o município de Itabaiana;
Alteração de endereço de um 1 caso de residente do município de Nossa Senhora do Socorro para o município de Porto da Folha;
Exclusão de um caso do município de Aquidabã por duplicidade."
2020-05-22,SP,
2020-05-22,SP,
2020-05-22,TO,
2020-05-21,AC,
2020-05-21,AL,
2020-05-21,AL,
2020-05-21,AM,
2020-05-21,AM,
2020-05-21,AP,
2020-05-21,AP,
2020-05-21,BA,
2020-05-21,CE,
2020-05-21,DF,dados de casos importados\indefinidos disponível na tabela 1 da página 1 do boletim
2020-05-21,ES,
2020-05-21,ES,
2020-05-21,GO,
2020-05-21,GO,
2020-05-21,GO,
2020-05-21,MA,
2020-05-21,MG,"Municípios de Monte Carmelo e Santana de Cataguases apresentaram redução no número de casos, de 7 e 3 no boletim anterior para 6 e 2 no atual, respectivamente. O boletim não informa o motivo dessas alterações."
2020-05-21,MG,
2020-05-21,MS,"Houve redução nos casos dos municípios de Bonito, Brasilândia, Coxim, Batayporã e
Camapuã do boletim de 20/05 para o boletim de 21/05. Não há nota explicativa no boletim."
2020-05-21,MT,
2020-05-21,MT,Dados extraídos da notícia.
2020-05-21,PA,"Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 21/05/2020 às 19:46h
Atualizado em 21/05/2020 às 19:46h"
2020-05-21,PB,
2020-05-21,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-21,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-21,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-21,PI,
2020-05-21,PI,
2020-05-21,PR,Um caso confirmado na data de 13/5 em Curitiba foi transferido para Campina Grande do Sul
2020-05-21,RJ,Macuco com menos um caso confirmado do que ontem.
2020-05-21,RN,Boletim 69 referente ao dia 21 foi publicado no dia 22. Dados foram extraídos às 23h do dia 21/05.
2020-05-21,RS,
2020-05-21,RS,
2020-05-21,SC,
2020-05-21,SC,
2020-05-21,SE,Exclusão de um caso do município de São Miguel do Aleixo por duplicidade.
2020-05-21,SP,
2020-05-21,SP,
2020-05-21,TO,
2020-05-20,AC,
2020-05-20,AL,
2020-05-20,AL,Dois (2) Casos/Óbitos em Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-20,AM,
2020-05-20,AM,
2020-05-20,AP,
2020-05-20,AP,
2020-05-20,BA,
2020-05-20,BA,
2020-05-20,CE,
2020-05-20,DF,"dados importado\indefinidos extraido da tabela 1, pagina 1 do Boletim."
2020-05-20,ES,
2020-05-20,ES,
2020-05-20,GO,O relatório não apresentou dados para Aparecida do Rio Doce
2020-05-20,GO,
2020-05-20,GO,O relatório não apresentou dados para Aparecida do Rio Doce
2020-05-20,MA,
2020-05-20,MG,
2020-05-20,MG,"Municípios de Campo Belo e Piracema apresentaram redução no número de casos, de 5 e 3 no boletim anterior para 4 e 2 no atual, respectivamente. Cipotânea e Olhos-D'Água não aparecem neste boletim, apesar de ter sido registrado 1  e 3 casos, respectivamente, no boletim anterior. O boletim não informa o motivo dessas alterações."
2020-05-20,MS,"Município de Bodoquena não aparece neste boletim, apesar de ter sido registrado 1 caso no boletim anterior. O boletim não explica o motivo dessa alteração.
O município de Bodoquena estava sendo reportado com 1 caso até o boletim de ontem (19/05) e desapareceu do boletim de hoje (20/05). Por isso, na planilha o município está marcado com 0 casos e 0 mortes."
2020-05-20,MT,
2020-05-20,PA,Fonte: Vigilância Epidemiológica - SESPA  - Atualizado em 20/05/2020 às 20:23h
2020-05-20,PB,
2020-05-20,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-20,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-20,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-20,PI,
2020-05-20,PI,
2020-05-20,PR,Dois casos confirmados por laboratório particular nas datas de 06 e 14/5 em Cascavel foram transferidos para Palotina e Toledo.
2020-05-20,RJ,
2020-05-20,RN,"Boletim número 68 referente ao dia 20, publicado dia 21."
2020-05-20,RO,"Um caso foi computado a mais para o município de Jaru, que permanece com 25 casos confirmados e não 26, conforme foi informado na edição anterior. O caso em questão já foi reduzido do sistema."
2020-05-20,RO,"Um caso foi computado a mais para o município de Jaru, que permanece com 25 casos confirmados e não 26, conforme foi informado na edição anterior. O caso em questão já foi reduzido do sistema."
2020-05-20,RS,"1100 casos antigos apurados pela secretaria em diferentes municípios

https://saude.rs.gov.br/estado-e-municipios-diminuem-diferencas-entre-numeros-de-casos-confirmados-de-covid-19-com-alinhamento-de-registro-no-sistema
https://saude.rs.gov.br/estado-e-municipios-diminuem-diferencas-entre-numeros-de-casos-confirmados-de-covid-19-com-alinhamento-de-registro-no-sistema"
2020-05-20,SC,
2020-05-20,SC,
2020-05-20,SE,
2020-05-20,SE,
2020-05-20,SP,
2020-05-20,SP,
2020-05-20,TO,
2020-05-19,AC,
2020-05-19,AL,
2020-05-19,AL,Dois (2) Casos/Óbitos de Campestre e Porto Real do Colégio ocorreram em outros estados (PE e SE)
2020-05-19,AM,
2020-05-19,AP,
2020-05-19,AP,
2020-05-19,BA,
2020-05-19,CE,
2020-05-19,DF,"dados de importados\indefinidos extraído da tabela 1, página 1 do boletim."
2020-05-19,ES,
2020-05-19,ES,
2020-05-19,GO,"O número de casos no painel difere do número de casos na notícia pelo fato de ter sido obtido em horário posterior ao da postagem da notícia
Os valores totais de casos confirmados e óbitos divulgados no painel estão diferentes dos valores da notícia divulgada pela SES-GO. 
A noticia consolida os dados até as 14h30 e o download do csv do painel foi realizado às 17h22. Foram considerados os valores totais divulgados no painel."
2020-05-19,GO,O número de casos no painel difere do número de casos na notícia pelo fato de ter sido obtido em horário posterior ao da postagem da notícia
2020-05-19,GO,"Os valores totais de casos confirmados e óbitos divulgados no painel estão diferentes dos valores da notícia divulgada pela SES-GO. 
A noticia consolida os dados até as 14h30 e o download do csv do painel foi realizado às 17h22. Foram considerados os valores totais divulgados no painel."
2020-05-19,MA,
2020-05-19,MA,
2020-05-19,MG,
2020-05-19,MG,"Município de Santo Antônio do Monte apresentou redução de casos, de 7 no boletim anterior para 6 no atual."
2020-05-19,MS,
2020-05-19,MT,
2020-05-19,MT,
2020-05-19,PB,
2020-05-19,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-19,PE,"Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais."
2020-05-19,PE,Total de dados do boletim do dia. Municípios atualizados com csv do IRRD - que disponibilizou os dados completos municipais.
2020-05-19,PI,
2020-05-19,PI,
2020-05-19,PR,Um caso confirmado na data de 2/5 em Foz do Iguaçu foi transferido para Santa Terezinha de Itaipu.
2020-05-19,RJ,
2020-05-19,RN,Boletim publicado dia 20. Dados coletados dia 19. Conforme boletim: Dados extraídos em 19/05/2020 (SE 20) às 23h
2020-05-19,RO,
2020-05-19,RO,
2020-05-19,RR,
2020-05-19,RR,
2020-05-19,RS,
2020-05-19,SC,"A notícia do site não incluiu os casos de Faxinal dos Guedes e Imbuia
Os casos de Faxinal dos Guedes e Imbuia foram omitidos na notícia mas estão no boletim em PDF."
